index,area,pop,sex,x_LDI_id_Updated_7July2011,x_ihme_health_system_access_19jul2011,year
271,HTI,3635.08580501,female,-0.464539575868,2.008594,1990.0
272,HTI,4659.62310206,male,-0.486530475195,2.008594,2005.0
273,HTI,4741.87781814,female,-0.486530475195,2.008594,2005.0
274,HTI,4978.36746315,male,,2.008594,2010.0
275,HTI,5064.02620669,female,,2.008594,2010.0
276,JAM,1176.28112922,male,-0.212321019904,2.008594,1990.0
277,JAM,1212.83909123,female,-0.212321019904,2.008594,1990.0
278,JAM,1333.54645975,male,-0.154588303078,2.008594,2005.0
279,JAM,1371.77239533,female,-0.154588303078,2.008594,2005.0
280,JAM,1358.9578264,male,,2.008594,2010.0
281,JAM,1400.90546117,female,,2.008594,2010.0
282,LCA,69.1429879882,male,-0.196919411048,2.008594,1990.0
283,LCA,71.9042520984,female,-0.196919411048,2.008594,1990.0
284,LCA,80.9874024902,male,-0.0595194639231,2.008594,2005.0
285,LCA,84.7829932594,female,-0.0595194639231,2.008594,2005.0
286,LCA,85.1227998605,male,,2.008594,2010.0
287,LCA,89.6997305331,female,,2.008594,2010.0
288,SUR,207.490535229,male,-0.188511936857,2.008594,1990.0
289,SUR,200.724918024,female,-0.188511936857,2.008594,1990.0
290,SUR,250.702793464,male,-0.212664224579,2.008594,2005.0
291,SUR,247.769222466,female,-0.212664224579,2.008594,2005.0
292,SUR,264.075091369,male,,2.008594,2010.0
293,SUR,262.79236327,female,,2.008594,2010.0
294,TTO,599.33407283,male,0.00909676312163,2.008594,1990.0
295,TTO,620.970591714,female,0.00909676312163,2.008594,1990.0
296,TTO,642.297216634,male,0.321280894937,2.008594,2005.0
297,TTO,680.250152327,female,0.321280894937,2.008594,2005.0
298,TTO,652.914540472,male,,2.008594,2010.0
299,TTO,694.981766173,female,,2.008594,2010.0
300,VCT,53.7087185438,male,-0.358119338339,2.008594,1990.0
301,VCT,54.2244628261,female,-0.358119338339,2.008594,1990.0
302,VCT,55.3170499399,male,-0.229412851962,2.008594,2005.0
303,VCT,54.2238741305,female,-0.229412851962,2.008594,2005.0
304,VCT,55.5206951309,male,,2.008594,2010.0
305,VCT,54.410740727,female,,2.008594,2010.0
306,ALB,1690.12706965,male,-0.360947317807,2.008594,1990.0
307,ALB,1610.76009935,female,-0.360947317807,2.008594,1990.0
308,ALB,1576.82332614,male,-0.307462057921,2.008594,2005.0
309,ALB,1578.33565133,female,-0.307462057921,2.008594,2005.0
310,ALB,1614.73297985,male,,2.008594,2010.0
311,ALB,1610.17233012,female,,2.008594,2010.0
312,BGR,4391.76320688,male,-0.141982423478,2.008594,1990.0
313,BGR,4522.35542197,female,-0.141982423478,2.008594,1990.0
314,BGR,3813.64111513,male,-0.141712353962,2.008594,2005.0
315,BGR,4058.93714964,female,-0.141712353962,2.008594,2005.0
316,BGR,3701.9083437,male,,2.008594,2010.0
317,BGR,3964.11796063,female,,2.008594,2010.0
318,BIH,2136.37380774,male,-0.472130079369,2.008594,1990.0
319,BIH,2187.83680049,female,-0.472130079369,2.008594,1990.0
320,BIH,1840.8977285,male,-0.276136802908,2.008594,2005.0
321,BIH,1989.12525517,female,-0.276136802908,2.008594,2005.0
322,BIH,1833.00303611,male,,2.008594,2010.0
323,BIH,1979.1011714,female,,2.008594,2010.0
324,CZE,5053.88986952,male,0.261957670483,2.008594,1990.0
325,CZE,5372.0019585,female,0.261957670483,2.008594,1990.0
326,CZE,5044.13963819,male,0.39724314807,2.008594,2005.0
327,CZE,5307.93073993,female,0.39724314807,2.008594,2005.0
328,CZE,5192.81053947,male,,2.008594,2010.0
329,CZE,5378.26801251,female,,2.008594,2010.0
330,HRV,2200.60319852,male,0.0963408686071,2.008594,1990.0
331,HRV,2359.03085644,female,0.0963408686071,2.008594,1990.0
332,HRV,2167.92816724,male,0.136514229336,2.008594,2005.0
333,HRV,2342.31899894,female,0.136514229336,2.008594,2005.0
334,HRV,2149.89005041,male,,2.008594,2010.0
335,HRV,2318.44019044,female,,2.008594,2010.0
336,HUN,5040.52382092,male,0.0782074067213,2.008594,1990.0
337,HUN,5469.43201684,female,0.0782074067213,2.008594,1990.0
338,HUN,4836.15138007,male,0.221243338458,2.008594,2005.0
339,HUN,5366.86518925,female,0.221243338458,2.008594,2005.0
340,HUN,4787.76470933,male,,2.008594,2010.0
341,HUN,5296.62135802,female,,2.008594,2010.0
342,MKD,965.84983815,male,-0.149813711223,2.008594,1990.0
343,MKD,958.175317274,female,-0.149813711223,2.008594,1990.0
344,MKD,1029.89601194,male,-0.197448678639,2.008594,2005.0
345,MKD,1027.88501119,female,-0.197448678639,2.008594,2005.0
346,MKD,1042.4015612,male,,2.008594,2010.0
347,MKD,1040.10224305,female,,2.008594,2010.0
348,MNE,291.177963438,male,-0.0401995583548,2.008594,1990.0
349,MNE,295.527049099,female,-0.0401995583548,2.008594,1990.0
350,MNE,311.089755645,male,-0.203678067149,2.008594,2005.0
351,MNE,323.27155882,female,-0.203678067149,2.008594,2005.0
352,MNE,313.036222286,male,,2.008594,2010.0
353,MNE,325.555073031,female,,2.008594,2010.0
354,POL,18695.7473223,male,-0.119637500051,2.008594,1990.0
355,POL,19701.4482402,female,-0.119637500051,2.008594,1990.0
356,POL,18657.2822503,male,0.086701696403,2.008594,2005.0
357,POL,19963.0715422,female,0.086701696403,2.008594,2005.0
358,POL,18591.1567086,male,,2.008594,2010.0
359,POL,19923.5702264,female,,2.008594,2010.0
360,ROU,11494.3738658,male,-0.12996136506,2.008594,1990.0
361,ROU,11843.3258324,female,-0.12996136506,2.008594,1990.0
362,ROU,10740.0066137,male,-0.147764106224,2.008594,2005.0
363,ROU,11351.5243067,female,-0.147764106224,2.008594,2005.0
364,ROU,10553.8889206,male,,2.008594,2010.0
365,ROU,11216.9361069,female,,2.008594,2010.0
366,SRB,4797.02379684,male,0.0117189134147,2.008594,1990.0
367,SRB,4873.52036265,female,0.0117189134147,2.008594,1990.0
368,SRB,4945.32525091,male,-0.184873436741,2.008594,2005.0
369,SRB,5075.37960313,female,-0.184873436741,2.008594,2005.0
370,SRB,4939.5165808,male,,2.008594,2010.0
371,SRB,5054.9023655,female,,2.008594,2010.0
372,SVK,2595.64222236,male,0.0542917939414,2.008594,1990.0
373,SVK,2722.78624095,female,0.0542917939414,2.008594,1990.0
374,SVK,2635.09225668,male,0.18672468827,2.008594,2005.0
375,SVK,2803.54207263,female,0.18672468827,2.008594,2005.0
376,SVK,2651.54369312,male,,2.008594,2010.0
377,SVK,2810.22596263,female,,2.008594,2010.0
378,SVN,972.776027703,male,0.238707868529,2.008594,1990.0
379,SVN,1036.12187657,female,0.238707868529,2.008594,1990.0
380,SVN,990.496341073,male,0.535763529977,2.008594,2005.0
381,SVN,1035.4127342,female,0.535763529977,2.008594,2005.0
382,SVN,1019.7848527,male,,2.008594,2010.0
383,SVN,1039.36136629,female,,2.008594,2010.0
384,BLR,4786.28765915,male,-0.224338853302,2.008594,1990.0
385,BLR,5443.64447284,female,-0.224338853302,2.008594,1990.0
386,BLR,4633.40095896,male,-0.182943209542,2.008594,2005.0
387,BLR,5314.01728345,female,-0.182943209542,2.008594,2005.0
388,BLR,4512.30075512,male,,2.008594,2010.0
389,BLR,5190.6220057,female,,2.008594,2010.0
390,EST,735.29783695,male,-0.0429849883497,2.008594,1990.0
391,EST,840.026331272,female,-0.0429849883497,2.008594,1990.0
392,EST,628.464293888,male,0.126913029155,2.008594,2005.0
393,EST,738.991153068,female,0.126913029155,2.008594,2005.0
394,EST,623.901694144,male,,2.008594,2010.0
395,EST,730.548064346,female,,2.008594,2010.0
396,LTU,1749.2840914,male,0.0883901510452,2.008594,1990.0
397,LTU,1955.69037051,female,0.0883901510452,2.008594,1990.0
398,LTU,1612.34689874,male,0.0343632436483,2.008594,2005.0
399,LTU,1853.47800213,female,0.0343632436483,2.008594,2005.0
400,LTU,1568.60894941,male,,2.008594,2010.0
401,LTU,1807.88446389,female,,2.008594,2010.0
402,LVA,1237.77835059,male,-0.0152245781306,2.008594,1990.0
403,LVA,1432.27141184,female,-0.0152245781306,2.008594,1990.0
404,LVA,1073.09057328,male,-0.020389813681,2.008594,2005.0
405,LVA,1262.13073873,female,-0.020389813681,2.008594,2005.0
406,LVA,1049.19302325,male,,2.008594,2010.0
407,LVA,1224.59392928,female,,2.008594,2010.0
408,MDA,2093.57353313,male,-0.342817653124,2.008594,1990.0
409,MDA,2303.17488047,female,-0.342817653124,2.008594,1990.0
410,MDA,1827.62018244,male,-0.448965792494,2.008594,2005.0
